hypothesis_id,model_a,model_b,scope,stratum,metric,iterations,seed,sequence_units,mean_a,mean_b,mean_delta,ci95_lower,ci95_upper,p_value,p_method,p_sign_assignments,p_value_bh
H0082,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,mae,10000,0,8,0.03869177781907113,0.07656159659061561,-0.03786981877154448,-0.05076119795607962,-0.024877363324684446,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0083,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,mae,10000,0,8,0.022936656054456245,0.05943991636627454,-0.036503260311818296,-0.05869786883944731,-0.017360133833954135,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0084,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,mae,10000,0,8,0.03589829581333146,0.06801193113286477,-0.032113635319533304,-0.042304463424732375,-0.022510575850356044,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0085,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,mae,10000,0,8,0.02695855279403466,0.04662978457238344,-0.01967123177834878,-0.027809758042526726,-0.010561286492784127,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0086,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,mae,10000,0,8,0.04559779998496841,0.0944677754711791,-0.04886997548621069,-0.06652181638390087,-0.030795173840999696,0.0078125,exact_two_sided_paired_sign_flip,256,0.04403409090909091
H0087,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,all_frames,false_positive_fraction,10000,0,8,0.018156348993613788,0.016611689552720747,0.0015446594408930403,-0.006697899747558481,0.012568237967123055,0.8515625,exact_two_sided_paired_sign_flip,256,0.9999408143939394
H0088,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_positive_frames,false_positive_fraction,10000,0,8,0.01525144234013174,0.016188777113616586,-0.0009373347734848467,-0.007653235666734658,0.007207031198798013,0.8359375,exact_two_sided_paired_sign_flip,256,0.9890863549618321
H0089,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,target_empty_frames,false_positive_fraction,10000,0,8,0.022936656062764335,0.02067929378236786,0.0022573622803964723,-0.013031277126736112,0.01965149756426516,0.796875,exact_two_sided_paired_sign_flip,256,0.9440684713375797
H0090,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,positive_sequence_frames,false_positive_fraction,10000,0,8,0.018156348993613788,0.016611689552720747,0.0015446594408930403,-0.0067264864646385675,0.012463507596957867,0.8515625,exact_two_sided_paired_sign_flip,256,0.9999408143939394
H0091,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,low_motion_frames,false_positive_fraction,10000,0,8,0.01677032130133184,0.012647414859214287,0.0041229064421175535,-0.002989471979510332,0.014189381435647574,0.5625,exact_two_sided_paired_sign_flip,256,0.7098032564450475
H0092,absence_and_run_length,ema_alpha_0_30,frame_sequence_mean,high_motion_frames,false_positive_fraction,10000,0,8,0.020479666034457653,0.021869074332248592,-0.0013894082977909377,-0.011135488484422883,0.01034776150543307,0.7890625,exact_two_sided_paired_sign_flip,256,0.9360052614795918
H0093,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,mean_dice,10000,0,8,0.7017252458515602,0.614974979563597,0.08675026628796312,0.03284280964666624,0.13276582522312597,0.03125,exact_two_sided_paired_sign_flip,256,0.11487154150197629
H0094,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,mean_dice,10000,0,8,0.7017252458515602,0.614974979563597,0.08675026628796312,0.03176963907940419,0.1351893258691552,0.03125,exact_two_sided_paired_sign_flip,256,0.11487154150197629
H0095,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,mean_dice,10000,0,4,0.6089992325393101,0.5021392950706184,0.10685993746869182,0.06261332187786779,0.15110655305951584,0.125,exact_two_sided_paired_sign_flip,16,0.26182432432432434
H0096,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,mean_dice,10000,0,4,0.7944512591638103,0.7278106640565758,0.06664059510723441,-0.016308691243956785,0.1495898814584256,0.375,exact_two_sided_paired_sign_flip,16,0.5588942307692307
H0097,absence_and_run_length,ema_alpha_0_30,sequence,all_sequences,mean_iou,10000,0,8,0.659742727942429,0.5468012272160856,0.11294150072634349,0.06285839924411042,0.1561848552020907,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0098,absence_and_run_length,ema_alpha_0_30,sequence,positive_sequences,mean_iou,10000,0,8,0.659742727942429,0.5468012272160856,0.11294150072634349,0.06273785318035721,0.1581036673992859,0.015625,exact_two_sided_paired_sign_flip,256,0.07451923076923077
H0099,absence_and_run_length,ema_alpha_0_30,sequence,low_motion_sequences,mean_iou,10000,0,4,0.5705821802367805,0.44225706100433304,0.1283251192324475,0.0852697718349697,0.1713804666299253,0.125,exact_two_sided_paired_sign_flip,16,0.26182432432432434
H0100,absence_and_run_length,ema_alpha_0_30,sequence,high_motion_sequences,mean_iou,10000,0,4,0.7489032756480775,0.651345393427838,0.09755788222023949,0.019897313678855527,0.17521845076162346,0.25,exact_two_sided_paired_sign_flip,16,0.41517857142857145
