slice,dataset,source,task,selection_mode,nominal_budget,threshold,frames,failures,failure_prevalence,reviewed_frames,review_fraction,caught_failures,failure_recall,review_precision,failure_recall_lift_over_random,precision_lift_over_prevalence,false_referrals,safe_frame_false_referral_rate,remaining_failures,residual_failure_fraction,residual_failure_rate_all_frames,remaining_failure_rate_unreviewed,auroc,auprc
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,exact_rank,0.1,,3882,316,0.08140133951571354,389,0.10020607934054611,59,0.18670886075949367,0.15167095115681234,1.8632488366795743,1.8632488366795745,330,0.09254066180594504,257,0.8132911392405063,0.06620298815043792,0.07357572287432007,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,3882,316,0.08140133951571354,16,0.004121586810922205,3,0.00949367088607595,0.1875,2.3034018987341773,2.3034018987341773,13,0.0036455412226584407,313,0.990506329113924,0.08062854198866563,0.0809622348680807,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,exact_rank,0.2,,3882,316,0.08140133951571354,777,0.20015455950540958,92,0.2911392405063291,0.11840411840411841,1.454572112799961,1.4545721127999611,685,0.19209197980931014,224,0.7088607594936709,0.05770221535291087,0.07214170692431562,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_seen,SUN-SEG,hard_seen,positive_lesion_preservation,sun_val_frozen_threshold,0.2,0.04186127,3882,316,0.08140133951571354,146,0.03760947964966512,28,0.08860759493670886,0.1917808219178082,2.355990983180163,2.355990983180163,118,0.03309029725182277,288,0.9113924050632911,0.07418856259659969,0.07708779443254818,0.44431675387094716,0.10503209441969512
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,exact_rank,0.01,,8640,1053,0.121875,87,0.010069444444444445,75,0.07122507122507123,0.8620689655172413,7.073386383731211,7.073386383731211,12,0.0015816528272044287,978,0.9287749287749287,0.11319444444444444,0.11434584356366187,0.5753545043998013,0.3052000931865506
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.01,0.13528396,8640,1053,0.121875,2,0.0002314814814814815,2,0.001899335232668566,1.0,8.205128205128204,8.205128205128206,0,0.0,1051,0.9981006647673314,0.12164351851851851,0.12167168326001389,0.5753545043998013,0.3052000931865506
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,exact_rank,0.05,,8640,1053,0.121875,432,0.05,224,0.2127255460588794,0.5185185185185185,4.254510921177587,4.254510921177587,208,0.02741531567154343,829,0.7872744539411206,0.09594907407407408,0.1009990253411306,0.5753545043998013,0.3052000931865506
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.05,0.09579211,8640,1053,0.121875,34,0.003935185185185185,26,0.024691358024691357,0.7647058823529411,6.2745098039215685,6.2745098039215685,8,0.0010544352181362858,1027,0.9753086419753086,0.11886574074074074,0.11933534743202417,0.5753545043998013,0.3052000931865506
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,exact_rank,0.1,,8640,1053,0.121875,864,0.1,306,0.2905982905982906,0.3541666666666667,2.905982905982906,2.9059829059829063,558,0.07354685646500593,747,0.7094017094017094,0.08645833333333333,0.09606481481481481,0.5753545043998013,0.3052000931865506
sun_test_positive_hard_unseen,SUN-SEG,hard_unseen,positive_lesion_preservation,sun_val_frozen_threshold,0.1,0.07180122,8640,1053,0.121875,144,0.016666666666666666,116,0.11016144349477683,0.8055555555555556,6.60968660968661,6.6096866096866105,28,0.003690523263477,937,0.8898385565052231,0.10844907407407407,0.11028719397363465,0.5753545043998013,0.3052000931865506
